co_posicao;sg_area;co_item;tx_gabarito;co_habilidade;in_item_aban;tx_motivo_aban;nu_param_a;nu_param_b;nu_param_c;tx_cor;co_prova;id;ano;cor;meio_aplicacao;num_questao;area;texto_questao;texto_base;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;tp_lingua;in_item_adaptado;tp_versao_digital
144;MT;7725;D;4.0;0;;2.764;0.956;0.129;Cinza;150;144_MT_Cinza;2012.0;Cinza;PAPEL;144.0;MT;  Nos shopping centers costumam existir parques com vários brinquedos e jogos. Os usuários colocam créditos em um cartão, que são descontados por cada período de tempo de uso dos jogos. Dependendo da pontuação da criança no jogo, ela recebe um certo número de tíquetes para trocar por produtos nas lojas dos parques.Suponha que o período de uso de um brinquedo em certo shopping custa R$ 3,00 e que uma bicicleta custa 9 200 tíquetes.Para uma criança que recebe 20 tíquetes por período de tempo que joga, o valor, em reais, gasto com créditos para obter a quantidade de tíquetes para trocar pela bicicleta éA 153.B 460.C 1 218.D 1 380.E 3 066.   - ; Nos shopping centers costumam existir parques com vários brinquedos e jogos. Os usuários colocam créditos em um cartão, que são descontados por cada período de tempo de uso dos jogos. Dependendo da pontuação da criança no jogo, ela recebe um certo número de tíquetes para trocar por produtos nas lojas dos parques.Suponha que o período de uso de um brinquedo em certo shopping custa R$ 3,00 e que uma bicicleta custa 9 200 tíquetes. Para uma criança que recebe 20 tíquetes por período de tempo que joga, o valor, em reais, gasto com créditos para obter a quantidade de tíquetes para trocar pela bicicleta é ; 153.; 460.;1 218.;1 380.;3 066.   -;;;
148;MT;9214;A;9.0;0;;3.544;2.408;0.141;Rosa;152;148_MT_Rosa;2012.0;Rosa;PAPEL;148.0;MT;  Em exposições de artes plásticas, é usual que estátuas sejam expostas sobre plataformas giratórias. Uma medida de segurança é que a base da escultura esteja integralmente apoiada sobre a plataforma. Para que se providencie o equipamento adequado, no caso de uma base quadrada que será fixada sobre uma plataforma circular, o auxiliar técnico do evento deve estimar a medida R do raio adequado para a plataforma em termos da medida L do lado da base da estátua.Qual relação entre R e L o auxiliar técnico deverá apresentar de modo que a exigência de segurança seja cumprida?AR ≥ L  2BR ≥ 2L  πCR ≥ L  πDR ≥ L  2ER ≥ L  (2 2); Em exposições de artes plásticas, é usual que estátuas sejam expostas sobre plataformas giratórias. Uma medida de segurança é que a base da escultura esteja integralmente apoiada sobre a plataforma. Para que se providencie o equipamento adequado, no caso de uma base quadrada que será fixada sobre uma plataforma circular, o auxiliar técnico do evento deve estimar a medida R do raio adequado para a plataforma em termos da medida L do lado da base da estátua. Qual relação entre R e L o auxiliar técnico deverá apresentar de modo que a exigência de segurança seja cumprida? ;;;;;;;;
149;MT;10896;E;6.0;0;;1.305;2.218;0.111;Rosa;152;149_MT_Rosa;2012.0;Rosa;PAPEL;149.0;MT; O globo da morte é uma atração muito usada em circos. Ele consiste em uma espécie de jaula em forma de uma superfície esférica feita de aço, onde motoqueiros andam com suas motos por dentro. A seguir, tem-se, na Figura 1, uma foto de um globo da morte e, na Figura 2, uma esfera que ilustra um globo da morte.BAFigura 1 Figura 2Na Figura 2, o ponto A está no plano do chão onde está colocado o globo da morte e o segmento AB passa pelo centro da esfera e é perpendicular ao plano do chão. Suponha que há um foco de luz direcionado para o chão colocado no ponto B e que um motoqueiro faça um trajeto dentro da esfera, percorrendo uma circunferência que passa pelos pontos A e B.Disponível em: www.baixaki.com.br. Acesso em: 29 fev. 2012.A imagem do trajeto feito pelo motoqueiro no plano do chão é melhor representada porADB EC; O globo da morte é uma atração muito usada em circos. Ele consiste em uma espécie de jaula em forma de uma superfície esférica feita de aço, onde motoqueiros andam com suas motos por dentro. A seguir, tem-se, na Figura 1, uma foto de um globo da morte e, na Figura 2, uma esfera que ilustra um globo da morte. B ;Figura 1 Figura 2Na Figura 2, o ponto A está no plano do chão onde está colocado o globo da morte e o segmento AB passa pelo centro da esfera e é perpendicular ao plano do chão. Suponha que há um foco de luz direcionado para o chão colocado no ponto B e que um motoqueiro faça um trajeto dentro da esfera, percorrendo uma circunferência que passa pelos pontos A e B.Disponível em: www.baixaki.com.br. Acesso em: 29 fev. 2012.A imagem do trajeto feito pelo motoqueiro no plano do chão é melhor representada porAD;;;;C;;;
150;MT;15453;E;13.0;0;;2.132;-0.048;0.176;Rosa;152;150_MT_Rosa;2012.0;Rosa;PAPEL;150.0;MT;  Num projeto da parte elétrica de um edifício residencial a ser construído, consta que as tomadas deverão ser colocadas a 0,20 m acima do piso, enquanto os interruptores de luz deverão ser colocados a 1,47 m acima do piso. Um cadeirante, potencial comprador de um apartamento desse edifício, ao ver tais medidas, alerta para o fato de que elas não contemplarão suas necessidades. Os referenciais de alturas (em metros) para atividades que não exigem o uso de força são mostrados na figura seguinte.Uma proposta substitutiva, relativa às alturas de tomadas e interruptores, respectivamente, que atenderá àquele potencial comprador éA 0,20 m e 1,45 m.B 0,20 m e 1,40 m.C 0,25 m e 1,35 m.D 0,25 m e 1,30 m.E 0,45 m e 1,20 m.  - ; Num projeto da parte elétrica de um edifício residencial a ser construído, consta que as tomadas deverão ser colocadas a 0,20 m acima do piso, enquanto os interruptores de luz deverão ser colocados a 1,47 m acima do piso. Um cadeirante, potencial comprador de um apartamento desse edifício, ao ver tais medidas, alerta para o fato de que elas não contemplarão suas necessidades. Os referenciais de alturas (em metros) para atividades que não exigem o uso de força são mostrados na figura seguinte. Uma proposta substitutiva, relativa às alturas de tomadas e interruptores, respectivamente, que atenderá àquele potencial comprador é ; 0,20 m e 1,45 m.; 0,20 m e 1,40 m.;0,25 m e 1,35 m.;0,25 m e 1,30 m.;0,45 m e 1,20 m.  -;;;
157;MT;10441;E;27.0;0;;2.042;3.236;0.108;Cinza;150;157_MT_Cinza;2012.0;Cinza;PAPEL;157.0;MT;  Um produtor de café irrigado em Minas Gerais recebeu um relatório de consultoria estatística, constando, entre outras informações, o desvio padrão das produções de uma safra dos talhões de sua propriedade. Os talhões têm a mesma área de 30 000 m2 e o valor obtido para o desvio padrão foi de 90 ktalhão. O produtor deve apresentar as informações sobre a produção e a variância dessas produções em sacas de 60 kg por hectare (10 000 m2).A variância das produções dos talhões expressa em (sacashectare)2 éA 20,25.B 4,50.C 0,71.D 0,50.E 0,25. ; Um produtor de café irrigado em Minas Gerais recebeu um relatório de consultoria estatística, constando, entre outras informações, o desvio padrão das produções de uma safra dos talhões de sua propriedade. Os talhões têm a mesma área de 30 000 m 2 e o valor obtido para o desvio padrão foi de 90 ktalhão. O produtor deve apresentar as informações sobre a produção e a variância dessas produções em sacas de 60 kg por hectare (10 000 m 2). A variância das produções dos talhões expressa em (sacashectare)2 é ; 20,25.; 4,50.;0,71.;0,50.;0,25.;;;
158;MT;9173;C;3.0;0;;1.312;3.255;0.143;Cinza;150;158_MT_Cinza;2012.0;Cinza;PAPEL;158.0;MT;  O designer português Miguel Neiva criou um sistema de símbolos que permite que pessoas daltônicas identifiquem cores. O sistema consiste na utilização de símbolos que identificam as cores primárias (azul, amarelo e vermelho). Além disso, a justaposição de dois desses símbolos permite identificar cores secundárias (como o verde, que é o amarelo combinado com o azul). O preto e o branco são identificados por pequenos quadrados: o que simboliza o preto é cheio, enquanto o que simboliza o branco é vazio. Os símbolos que representam preto e branco também podem estar associados aos símbolos que identificam cores, significando se estas são claras ou escuras.Folha de São Paulo. Disponível em: www1.folha.uol.com.br. Acesso em: 18 fev. 2012 (adaptado).De acordo com o texto, quantas cores podem ser representadas pelo sistema proposto?A 14B 18C 20D 21E 23; O designer português Miguel Neiva criou um sistema de símbolos que permite que pessoas daltônicas identifiquem cores. O sistema consiste na utilização de símbolos que identificam as cores primárias (azul, amarelo e vermelho). Além disso, a justaposição de dois desses símbolos permite identificar cores secundárias (como o verde, que é o amarelo combinado com o azul). O preto e o branco são identificados por pequenos quadrados: o que simboliza o preto é cheio, enquanto o que simboliza o branco é vazio. Os símbolos que representam preto e branco também podem estar associados aos símbolos que identificam cores, significando se estas são claras ou escuras. Folha de São Paulo. Disponível em: www1.folha.uol.com.br. Acesso em: 18 fev. 2012 (adaptado). De acordo com o texto, quantas cores podem ser representadas pelo sistema proposto? ; 14; 18;20;21;23;;;
159;MT;12105;D;29.0;0;;1.24;3.242;0.18;Cinza;150;159_MT_Cinza;2012.0;Cinza;PAPEL;159.0;MT;  José, Paulo e Antônio estão jogando dados não viciados, nos quais, em cada uma das seis faces, há um número de 1 a 6. Cada um deles jogará dois dados simultaneamente. José acredita que, após jogar seus dados, os números das faces voltadas para cima lhe darão uma soma igual a 7. Já Paulo acredita que sua soma será igual a 4 e Antônio acredita que sua soma será igual a 8.Com essa escolha, quem tem a maior probabilidade de acertar sua respectiva soma éA Antônio, já que sua soma é a maior de todas as escolhidas.B José e Antônio, já que há 6 possibilidades tanto para a escolha de José quanto para a escolha de Antônio, e há apenas 4 possibilidades para a escolha de Paulo.C José e Antônio, já que há 3 possibilidades tanto para a escolha de José quanto para a escolha de Antônio, e há apenas 2 possibilidades para a escolha de Paulo.D José, já que há 6 possibilidades para formar sua soma, 5 possibilidades para formar a soma de Antônio e  apenas 3 possibilidades para formar a soma de Paulo.E Paulo, já que sua soma é a menor de todas.; José, Paulo e Antônio estão jogando dados não viciados, nos quais, em cada uma das seis faces, há um número de 1 a 6. Cada um deles jogará dois dados simultaneamente. José acredita que, após jogar seus dados, os números das faces voltadas para cima lhe darão uma soma igual a 7. Já Paulo acredita que sua soma será igual a 4 e Antônio acredita que sua soma será igual a 8. Com essa escolha, quem tem a maior probabilidade de acertar sua respectiva soma é ; Antônio, já que sua soma é a maior de todas as escolhidas.; José e Antônio, já que há 6 possibilidades tanto para a escolha de José quanto para a escolha de Antônio, e há apenas 4 possibilidades para a escolha de Paulo.;José e Antônio, já que há 3 possibilidades tanto para a escolha de José quanto para a escolha de Antônio, e há apenas 2 possibilidades para a escolha de Paulo.;José, já que há 6 possibilidades para formar sua soma, 5 possibilidades para formar a soma de Antônio e  apenas 3 possibilidades para formar a soma de Paulo.;Paulo, já que sua soma é a menor de todas.;;;
160;MT;11010;B;27.0;0;;1.891;2.719;0.12;Cinza;150;160_MT_Cinza;2012.0;Cinza;PAPEL;160.0;MT;  O gráfico apresenta o comportamento de emprego formal surgido, segundo o CAGED, no período de janeiro de 2010 a outubro de 2010.MAIODisponível em: www.mte.gov.br. Acesso em: 28 fev. 2012 (adaptado).Com base no gráfico, o valor da parte inteira da mediana dos empregos formais surgidos no período éA 212 952.B 229 913.C 240 621.D 255 496.E 298 041.; O gráfico apresenta o comportamento de emprego formal surgido, segundo o C AGED , no período de janeiro de 2010 a outubro de 2010. MAIO Disponível em: www.mte.gov.br. Acesso em: 28 fev. 2012 (adaptado). Com base no gráfico, o valor da parte inteira da mediana dos empregos formais surgidos no período é ; 212 952.; 229 913.;240 621.;255 496.;298 041.;;;
161;MT;7318;C;17.0;0;;2.309;2.521;0.16;Cinza;150;161_MT_Cinza;2012.0;Cinza;PAPEL;161.0;MT;  A cerâmica possui a propriedade da contração, que consiste na evaporação da água existente em um conjunto ou bloco cerâmico submetido a uma determinada temperatura elevada: em seu lugar aparecendo “espaços vazios” que tendem a se aproximar. No lugar antes ocupado pela água vão ficando lacunas e, consequentemente, o conjunto tende a retrair-se. Considere que no processo de cozimento a cerâmica de argila sofra uma contração, em dimensões lineares, de 20%.Disponível em: www.arq.ufsc.br. Acesso em: 30 mar. 2012 (adaptado).Levando em consideração o processo de cozimento e a contração sofrida, o volume V de uma travessa de argila, de forma cúbica de aresta a, diminui para um valor que éA 20% menor que V, uma vez que o volume do cubo é diretamente proporcional ao comprimento de seu lado.B 36% menor que V, porque a área da base diminui de a2 para ((1   − 0,2)a)2.C 48,8% menor que V, porque o volume diminui de a3 para (0,8a)3.D 51,2% menor que V, porque cada lado diminui para 80% do comprimento original.E 60% menor que V, porque cada lado diminui 20%.  - ; A cerâmica possui a propriedade da contração, que consiste na evaporação da água existente em um conjunto ou bloco cerâmico submetido a uma determinada temperatura elevada: em seu lugar aparecendo “espaços vazios” que tendem a se aproximar. No lugar antes ocupado pela água vão ficando lacunas e, consequentemente, o conjunto tende a retrair-se. Considere que no processo de cozimento a cerâmica de argila sofra uma contração, em dimensões lineares, de 20%. Disponível em: www.arq.ufsc.br. Acesso em: 30 mar. 2012 (adaptado). Levando em consideração o processo de cozimento e a contração sofrida, o volume V de uma travessa de argila, de forma cúbica de aresta a, diminui para um valor que é ; 20% menor que V, uma vez que o volume do cubo é diretamente proporcional ao comprimento de seu lado.; 36% menor que V, porque a área da base diminui de a2 para ((1   − 0,2)a)2.;48,8% menor que V, porque o volume diminui de a3 para (0,8a)3.;51,2% menor que V, porque cada lado diminui para 80% do comprimento original.;60% menor que V, porque cada lado diminui 20%.  -;;;
165;MT;8371;B;21.0;0;;3.552;2.084;0.228;Cinza;150;165_MT_Cinza;2012.0;Cinza;PAPEL;165.0;MT;  Dentre outros objetos de pesquisa, a Alometria estuda a relação entre medidas de diferentes partes do corpo humano. Por exemplo, segundo a Alometria, a área A da superfície corporal de uma pessoa relaciona-se com a sua massa m pela fórmula A = k.m23, em que k é uma constante positiva.Se no período que vai da infância até a maioridade de um indivíduo sua massa é multiplicada por 8, por quanto será multiplicada a área da superfície corporal?A163B 4C 24D 8E 64; Dentre outros objetos de pesquisa, a Alometria estuda a relação entre medidas de diferentes partes do corpo humano. Por exemplo, segundo a Alometria, a área A da superfície corporal de uma pessoa relaciona-se com a sua massa m pela fórmula A = k.m2 3, em que k é uma constante positiva. Se no período que vai da infância até a maioridade de um indivíduo sua massa é multiplicada por 8, por quanto será multiplicada a área da superfície corporal? ;;;;;;;;
166;MT;5773;E;21.0;0;;1.738;1.953;0.123;Cinza;150;166_MT_Cinza;2012.0;Cinza;PAPEL;166.0;MT; Um aluno registrou as notas bimestrais de algumas de suas disciplinas numa tabela. Ele observou que as entradas numéricas da tabela formavam uma matriz 4x4, e que poderia calcular as médias anuais dessas disciplinas usando produto de matrizes. Todas as provas possuíam o mesmo peso, e a tabela que ele conseguiu é mostrada a seguir.1º bimestre 2º bimestre 3º bimestre 4º bimestreMatemática 5,9 6,2 4,5 5,5Português 6,6 7,1 6,5 8,4Geografia 8,6 6,8 7,8 9,0História 6,2 5,6 5,9 7,7Para obter essas médias, ele multiplicou a matriz obtida a partir da tabela porA12121212D12121212B14141414E14141414C1111;;;;;;;;;
167;MT;8439;D;15.0;0;;2.035;1.851;0.256;Cinza;150;167_MT_Cinza;2012.0;Cinza;PAPEL;167.0;MT;  Existem no mercado chuveiros elétricos de diferentes potências, que representam consumos e custos diversos. A potência (P) de um chuveiro elétrico é dada pelo produto entre sua resistência elétrica (R) e o quadrado da corrente elétrica (i) que por ele circula. O consumo de energia elétrica (E), por sua vez, é diretamente proporcional à potência do aparelho.Considerando as características apresentadas, qual dos gráficos a seguir representa a relação entre a energia consumida (E) por um chuveiro elétrico e a corrente elétrica (i) que circula por ele?AEi 0DEi 0BEi 0EEi 0CEi 0; Existem no mercado chuveiros elétricos de diferentes potências, que representam consumos e custos diversos. A potência (P) de um chuveiro elétrico é dada pelo produto entre sua resistência elétrica (R) e o quadrado da corrente elétrica (i) que por ele circula. O consumo de energia elétrica (E), por sua vez, é diretamente proporcional à potência do aparelho. Considerando as características apresentadas, qual dos gráficos a seguir representa a relação entre a energia consumida (E) por um chuveiro elétrico e a corrente elétrica (i) que circula por ele? ;;;;;i 0DEi 0BEi 0EEi 0CEi 0;;;
168;MT;7324;D;1.0;0;;3.324;1.019;0.124;Amarelo;149;168_MT_Amarelo;2012.0;Amarelo;PAPEL;168.0;MT;  A Agência Espacial Norte Americana (NASA) informou que o asteroide YU 55 cruzou o espaço entre a Terra e a Lua no mês de novembro de 2011. A ilustração a seguir sugere que o asteroide percorreu sua trajetória no mesmo plano que contém a órbita descrita pela Lua em torno da Terra. Na figura, está indicada a proximidade do asteroide em relação à Terra, ou seja, a menor distância que ele passou da superfície terrestre.Disponível em: http:noticias.terra.com.br (adaptado).Com base nessas informações, a menor distância que o asteroide YU 55 passou da superfície da Terra é igual aA 3,25 × 102 km.B 3,25 × 103 km.C 3,25 × 104 km.D 3,25 × 105 km.E 3,25 × 106 km. ; A Agência Espacial Norte Americana (NASA) informou que o asteroide YU 55 cruzou o espaço entre a Terra e a Lua no mês de novembro de 2011. A ilustração a seguir sugere que o asteroide percorreu sua trajetória no mesmo plano que contém a órbita descrita pela Lua em torno da Terra. Na figura, está indicada a proximidade do asteroide em relação à Terra, ou seja, a menor distância que ele passou da superfície terrestre. Disponível em: http:noticias.terra.com.br (adaptado). Com base nessas informações, a menor distância que o asteroide YU 55 passou da superfície da Terra é igual a ; 3,25 × 102 km.; 3,25 × 103 km.;3,25 × 104 km.;3,25 × 105 km.;3,25 × 106 km.;;;
168;MT;9577;B;10.0;0;;3.508;1.659;0.175;Cinza;150;168_MT_Cinza;2012.0;Cinza;PAPEL;168.0;MT;  Em 20 de fevereiro de 2011 ocorreu a grande erupção do vulcão Bulusan nas Filipinas. A sua localização geográfica no globo terrestre é dada pelo GPS (sigla em inglês para Sistema de Posicionamento Global) com longitude de 124° 3’ 0” a leste do Meridiano de Greenwich.Dado: 1° equivale a 60’ e 1’ equivale a 60”.PAVARIN, G.  Galileu , fev. 2012 (adaptado).A representação angular da localização do vulcão com relação a sua longitude na forma decimal éA 124,02°.B 124,05°.C 124,20°.D 124,30°.E 124,50°.  - ; Em 20 de fevereiro de 2011 ocorreu a grande erupção do vulcão Bulusan nas Filipinas. A sua localização geográfica no globo terrestre é dada pelo GPS (sigla em inglês para Sistema de Posicionamento Global) com longitude de 124° 3’ 0” a leste do Meridiano de Greenwich. Dado: 1° equivale a 60’ e 1’ equivale a 60”. PAVARIN, G. Galileu , fev. 2012 (adaptado). A representação angular da localização do vulcão com relação a sua longitude na forma decimal é ; 124,02°.; 124,05°.;124,20°.;124,30°.;124,50°.  -;;;
169;MT;13915;B;16.0;0;;1.453;0.875;0.19;Amarelo;149;169_MT_Amarelo;2012.0;Amarelo;PAPEL;169.0;MT;  Há, em virtude da demanda crescente de economia de água, equipamentos e utensílios como, por exemplo, as bacias sanitárias ecológicas, que utilizam 6 litros de água por descarga em vez dos 15 litros utilizados por bacias sanitárias não ecológicas, conforme dados da Associação Brasileira de Normas Técnicas (ABNT).Qual será a economia diária de água obtida por meio da substituição de uma bacia sanitária não ecológica, que gasta cerca de 60 litros por dia com a descarga, por uma bacia sanitária ecológica?A 24 litrosB 36 litrosC 40 litrosD 42 litrosE 50 litros; Há, em virtude da demanda crescente de economia de água, equipamentos e utensílios como, por exemplo, as bacias sanitárias ecológicas, que utilizam 6 litros de água por descarga em vez dos 15 litros utilizados por bacias sanitárias não ecológicas, conforme dados da Associação Brasileira de Normas Técnicas (ABNT). Qual será a economia diária de água obtida por meio da substituição de uma bacia sanitária não ecológica, que gasta cerca de 60 litros por dia com a descarga, por uma bacia sanitária ecológica? ; 24 litros; 36 litros;40 litros;42 litros;50 litros;;;
170;MT;12252;D;29.0;0;;1.479;0.795;0.195;Amarelo;149;170_MT_Amarelo;2012.0;Amarelo;PAPEL;170.0;MT;  A tabela a seguir mostra a evolução da receita bruta anual nos três últimos anos de cinco microempresas (ME) que se encontram à venda.ME2009(em milhares de reais)2010(em milhares de reais)2011(em milhares de reais)Alfinetes V 200 220 240Balas W 200 230 200Chocolates X 250 210 215Pizzaria Y 230 230 230Tecelagem Z 160 210 245Um investidor deseja comprar duas das empresas listadas na tabela. Para tal, ele calcula a média da receita bruta anual dos últimos três anos (de 2009 até 2011) e escolhe as duas empresas de maior média anual.As empresas que este investidor escolhe comprar sãoA Balas W e Pizzaria Y.B Chocolates X e Tecelagem Z.C Pizzaria Y e Alfinetes V.D Pizzaria Y e Chocolates X.E Tecelagem Z e Alfinetes V. ; A tabela a seguir mostra a evolução da receita bruta anual nos três últimos anos de cinco microempresas (ME) que se encontram à venda. ME2009 (em milhares de reais)2010 (em milhares de reais)2011 (em milhares de reais) Alfinetes V 200 220 240 Balas W 200 230 200 Chocolates X 250 210 215 Pizzaria Y 230 230 230 Tecelagem Z 160 210 245 Um investidor deseja comprar duas das empresas listadas na tabela. Para tal, ele calcula a média da receita bruta anual dos últimos três anos (de 2009 até 2011) e escolhe as duas empresas de maior média anual. As empresas que este investidor escolhe comprar são; Balas W e Pizzaria Y.; Chocolates X e Tecelagem Z.;Pizzaria Y e Alfinetes V.;Pizzaria Y e Chocolates X.;Tecelagem Z e Alfinetes V.;;;
171;MT;8405;D;25.0;0;;2.198;0.699;0.158;Amarelo;149;171_MT_Amarelo;2012.0;Amarelo;PAPEL;171.0;MT;  Um laboratório realiza exames em que é possível observar a taxa de glicose de uma pessoa. Os resultados são analisados de acordo com o quadro a seguir.Hipoglicemia taxa de glicose menor ou igual a 70 mdLNormal taxa de glicose maior que 70 mdL e menor ou igual a 100 mdLPré-diabetes taxa de glicose maior que 100 mdL e menor ou igual a 125 mdLDiabetes Melito taxa de glicose maior que 125 mdL e menor ou igual a 250 mdLHiperglicemia taxa de glicose maior que 250 mdLUm paciente fez um exame de glicose nesse laboratório e comprovou que estava com hiperglicemia. Sua taxa de glicose era de 300 mdL. Seu médico prescreveu um tratamento em duas etapas. Na primeira etapa ele conseguiu reduzir sua taxa em 30% e na segunda etapa em 10%.Ao calcular sua taxa de glicose após as duas reduções, o paciente verificou que estava na categoria deA hipoglicemia.B normal.C pré-diabetes.D diabetes melito.E hiperglicemia.   - ; Um laboratório realiza exames em que é possível observar a taxa de glicose de uma pessoa. Os resultados são analisados de acordo com o quadro a seguir. Hipoglicemia taxa de glicose menor ou igual a 70 mdL Normal taxa de glicose maior que 70 mdL e menor ou igual a 100 mdL Pré-diabetes taxa de glicose maior que 100 mdL e menor ou igual a 125 mdL Diabetes Melito taxa de glicose maior que 125 mdL e menor ou igual a 250 mdL Hiperglicemia taxa de glicose maior que 250 mdL Um paciente fez um exame de glicose nesse laboratório e comprovou que estava com hiperglicemia. Sua taxa de glicose era de 300 mdL. Seu médico prescreveu um tratamento em duas etapas. Na primeira etapa ele conseguiu reduzir sua taxa em 30% e na segunda etapa em 10%. Ao calcular sua taxa de glicose após as duas reduções, o paciente verificou que estava na categoria de ; hipoglicemia.; normal.;pré-diabetes.;diabetes melito.;hiperglicemia.   -;;;
109;LC;6827;C;18.0;0;;1.446;2.384;0.182;AMARELO;175;109_LC_AMARELO;2013.0;AMARELO;PAPEL;109.0;LC; Jogar limpoArgumentar não é ganhar uma discussão a qualquer preço. Convencer alguém de algo é, antes de tudo, uma alternativa à prática de ganhar uma questão no grito ou na violência física — ou não física. Não física, dois pontos. Um político que mente descaradamente pode cativar eleitores. Uma publicidade que joga baixo pode constranger multidões a consumir um produto danoso ao ambiente. Há manipulações psicológicas não só na religião. E é comum pessoas agirem emocionalmente, porque vítimas de ardilosa — e cangoteira — sedução. Embora a eficácia a todo preço não seja argumentar, tampouco se trata de admitir só verdades científicas — formar opinião apenas depois de ver a demonstração e as evidências, como a ciência faz. Argumentar é matéria da vida cotidiana, uma forma de retórica, mas é um raciocínio que tenta convencer sem se tornar mero cálculo manipulativo, e pode ser rigoroso sem ser científico.Língua Portuguesa , São Paulo, ano 5, n. 66, abr. 2011 (adaptado).No fragmento, opta-se por uma construção linguística bastante diferente em relação aos padrões normalmente empregados na escrita. Trata-se da frase “Não física, dois pontos”. Nesse contexto, a escolha por se representar por extenso o sinal de pontuação que deveria ser utilizadoA enfatiza a metáfora de que o autor se vale para desenvolver seu ponto de vista sobre a arte de argumentar.B diz respeito a um recurso de metalinguagem, evidenciando as relações e as estruturas presentes no enunciado.C é um recurso estilístico que promove satisfatoriamente a sequenciação de ideias, introduzindo apostos exemplificativos.D ilustra a flexibilidade na estruturação do gênero textual, a qual se concretiza no emprego da linguagem conotativa.E prejudica a sequência do texto, provocando estranheza no leitor ao não desenvolver explicitamente o raciocínio a partir de argumentos.;;;diz respeito a um recurso de metalinguagem, evidenciando as relações e as estruturas presentes no enunciado.;é um recurso estilístico que promove satisfatoriamente a sequenciação de ideias, introduzindo apostos exemplificativos.;ilustra a flexibilidade na estruturação do gênero textual, a qual se concretiza no emprego da linguagem conotativa.;prejudica a sequência do texto, provocando estranheza no leitor ao não desenvolver explicitamente o raciocínio a partir de argumentos.;;0.0;
42;CH;7014;C;9.0;0;;0.8512;2.1432;0.1505;AMARELO;168;42_CH_AMARELO;2013.0;AMARELO;PAPEL;42.0;CH; Embora haja dados comuns que dão unidade ao fenômeno da urbanização na África, na Ásia e na América Latina, os impactos são distintos em cada continente e mesmo dentro de cada país, ainda que as modernizações se deem com o mesmo conjunto de inovações.ELIAS, D. Fim do século e urbanização no Bras il. Revista Ciência Geográfica, ano IV, n. 11, set.dez. 1988.O texto aponta para a complexidade da urbanização nos diferentes contextos socioespaciais. Comparando a organização socioeconômica das regiões citadas, a unidade desse fenômeno é perceptível no aspectoA espacial, em função do sistema integrado que envolve as cidades locais e globais.B cultural, em função da semelhança histórica e da condição de modernização econômica e política.C demográfico, em função da localização das maiores aglomerações urbanas e continuidade do fluxo campo-cidade.D territorial, em função da estrutura de organização e planejamento das cidades que atravessam as fronteiras nacionais.E econômico, em função da revolução agrícola que transformou o campo e a cidade e contribuiu para fixação do homem ao lugar.;;;cultural, em função da semelhança histórica e da condição de modernização econômica e política.;demográfico, em função da localização das maiores aglomerações urbanas e continuidade do fluxo campo-cidade.;territorial, em função da estrutura de organização e planejamento das cidades que atravessam as fronteiras nacionais.;econômico, em função da revolução agrícola que transformou o campo e a cidade e contribuiu para fixação do homem ao lugar.;;0.0;
110;LC;7242;E;4.0;0;;2.4322;0.4237;0.1634;AZUL;177;110_LC_AZUL;2013.0;AZUL;PAPEL;110.0;LC; CAULOS. Disponível em: www.caulos.com. Acesso em: 24 set. 2011.O cartum faz uma crítica social. A figura destacada está em oposição às outras e representa a A opressão das minorias sociais.B carência de recursos tecnológicos. C falta de liberdade de expressão. D defesa da qualificação profissional. E reação ao controle do pensamento coletivo.;;;carência de recursos tecnológicos. ;falta de liberdade de expressão. ;defesa da qualificação profissional. ;reação ao controle do pensamento coletivo.;;0.0;
76;CN;7444;B;21.0;0;;3.2309;1.8499;0.2774;AMARELO;172;76_CN_AMARELO;2013.0;AMARELO;PAPEL;76.0;CN; Aquecedores solares usados em residências têm o objetivo de elevar a temperatura da água até 70 °C. No entanto, a temperatura ideal da água para um banho é de 30 °C. Por isso, deve-se misturar a água aquecida com a água à temperatura ambiente de um outro reservatório, que se encontra a 25 °C.Qual a razão entre a massa de água quente e a massa de água fria na mistura para um banho à temperatura ideal?A 0,111.B 0,125.C 0,357.D 0,428.E 0,833.;;;0,125.;0,357.;0,428.;0,833.;;0.0;
115;LC;7457;A;24.0;0;;2.375;-0.22;0.208;ROSA;178;115_LC_ROSA;2013.0;ROSA;PAPEL;115.0;LC; CURY, C. Disponível em: http:tirasnacionais.blogspot.com. Acesso em: 13 nov. 2011.A tirinha denota a postura assumida por seu produtor frente ao uso social da tecnologia para fins de interação e de informação. Tal posicionamento é expresso, de forma argumentativa, por meio de uma atitudeA crítica, expressa pelas ironias.B resignada, expressa pelas enumerações.C indignada, expressa pelos discursos diretos.D agressiva, expressa pela contra-argumentação.E alienada, expressa pela negação da realidade.; CURY, C. Disponível em: http:tirasnacionais.blogspot.com. Acesso em: 13 nov. 2011.;tirinha denota a postura assumida por seu produtor frente ao uso social da tecnologia para fins de interação e de informação. Tal posicionamento é expresso, de forma argumentativa, por meio de uma atitudeA crítica, expressa pelas ironias.;resignada, expressa pelas enumerações.;indignada, expressa pelos discursos diretos.;agressiva, expressa pela contra-argumentação.;alienada, expressa pela negação da realidade.;;0.0;
